pitch_type,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,inning,at_bat_number,pitch_number,home_score,away_score,bat_score,fld_score,stand_L,stand_R,p_throws_L,p_throws_R,inning_topbot_Bot,inning_topbot_Top,if_fielding_alignment_Infield shift,if_fielding_alignment_Standard,if_fielding_alignment_Strategic,of_fielding_alignment_4th outfielder,of_fielding_alignment_Standard,of_fielding_alignment_Strategic
FF,0,0,0,0,0,0,3,20,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0
SL,0,0,0,0,1,2,3,19,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0
CH,0,0,0,0,1,1,3,18,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0
CH,0,0,0,0,1,0,3,17,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0
FF,0,0,0,0,0,0,3,16,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0
FF,0,0,0,0,0,2,2,15,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0
FF,0,0,0,0,0,1,2,14,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0
SL,0,0,0,0,0,0,2,13,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0
CH,0,0,0,1,0,2,2,12,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0
FF,0,0,0,1,0,1,2,11,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0
FF,0,0,0,0,1,0,2,10,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0
FF,0,0,0,0,0,0,2,9,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0
SL,0,0,1,0,0,2,1,8,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0
FF,0,0,0,1,0,1,1,7,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0
FF,0,0,0,0,0,1,1,6,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0
FF,0,0,0,0,0,0,1,5,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0
FF,0,0,0,0,1,2,1,4,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1
CH,0,0,0,0,1,1,1,3,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1
FF,0,0,0,0,0,1,1,2,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0
FF,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0
FF,0,0,0,0,0,2,9,72,1,1,5,1,5,0,1,1,0,1,0,1,0,0,0,1,0
FF,0,0,0,0,0,1,9,71,1,1,5,1,5,0,1,1,0,1,0,1,0,0,0,1,0
FF,0,0,0,0,0,0,9,70,1,1,5,1,5,1,0,1,0,1,0,0,0,1,0,1,0
SL,0,0,1,1,1,2,9,69,1,1,5,5,1,0,1,0,1,0,1,0,1,0,0,1,0
SL,0,0,1,1,1,1,9,68,1,1,5,5,1,1,0,0,1,0,1,0,0,1,0,1,0
SL,0,0,0,1,1,1,9,67,1,1,5,5,1,1,0,0,1,0,1,0,1,0,0,1,0
SL,0,0,0,1,1,0,9,66,1,1,5,5,1,1,0,0,1,0,1,0,1,0,0,1,0
CU,0,0,0,0,1,0,9,65,1,1,5,5,1,0,1,0,1,0,1,0,1,0,0,1,0
SL,0,0,0,0,0,0,9,64,1,1,5,5,1,1,0,0,1,0,1,0,1,0,0,1,0
SL,0,0,0,0,1,2,8,63,1,1,5,1,5,0,1,0,1,1,0,1,0,0,0,0,1
FF,0,0,0,0,0,2,8,62,1,1,5,1,5,0,1,0,1,1,0,0,1,0,0,1,0
SL,0,0,0,0,0,1,8,61,1,1,5,1,5,1,0,0,1,1,0,0,1,0,0,1,0
FF,0,0,0,0,0,0,8,60,1,1,5,1,5,1,0,0,1,1,0,0,0,1,0,1,0
FT,0,0,0,0,0,2,8,59,1,1,5,5,1,0,1,0,1,0,1,0,1,0,0,1,0
FS,0,0,0,0,0,1,8,58,1,1,5,5,1,1,0,0,1,0,1,0,1,0,0,1,0
FS,0,0,0,0,0,0,8,57,1,1,5,5,1,1,0,0,1,0,1,0,1,0,0,1,0
CH,0,0,1,0,0,2,7,56,1,1,5,1,5,0,1,1,0,1,0,0,1,0,0,0,1
